	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000102693.1	0.412032072165254	0	4.40735632394231	0	1	NA
ENSMUSG00000064842.1	0	NA	NA	NA	NA	NA
ENSMUSG00000051951.5	11002.1099617476	-0.222973629389404	0.092391358240407	-2.41336022801197	0.0158061890298728	0.0650591912645291
ENSMUSG00000102851.1	21.7991923930869	1.21462394698555	0.569563685796031	2.13255159567972	0.0329615276668798	0.114597785140493
ENSMUSG00000103377.1	369.22281869016	0.743815610350497	0.186749147458299	3.98296656490274	6.80603338032587e-05	0.000678514248626671
ENSMUSG00000104017.1	304.73481514643	0.873736463583329	0.194232213892559	4.49841170047438	6.84630204739523e-06	8.8386045888025e-05
ENSMUSG00000103025.1	90.1497294759651	0.615177547472441	0.53095171937132	1.15863180215491	0.246606300083357	0.4684286195658
ENSMUSG00000089699.1	0	NA	NA	NA	NA	NA
ENSMUSG00000103201.1	145.149668883441	0.364990673878258	0.293669133523995	1.24286359107072	0.213918104353818	0.426729795366869
ENSMUSG00000103147.1	116.3117131735	0.108321521178138	0.268832822563875	0.402932648420936	0.686997772598827	0.842516860532509
ENSMUSG00000103161.1	329.76705555088	-0.0255103274424063	0.255852903943191	-0.0997070076174338	0.92057693699557	0.965766548208536
ENSMUSG00000102331.1	523.926897595537	-0.0508150239024273	0.183296309118466	-0.277228844087554	0.78160439290052	0.896758827577829
ENSMUSG00000102348.1	18.0719899574466	-1.20690279911677	0.823337000671498	-1.46586731573152	0.142684437702685	0.326179937649656
ENSMUSG00000102592.1	0.467536961060446	0	4.40735632394103	0	1	NA
ENSMUSG00000088333.2	0	NA	NA	NA	NA	NA
ENSMUSG00000102343.1	0.131706590907984	1.88840089545846	4.37653511308453	0.431483090313317	0.666117145281797	NA
ENSMUSG00000025900.13	7.60204030222144	0.518367579358999	1.28416075071974	0.403662531399177	0.686460895944965	NA
ENSMUSG00000102948.1	0.324498433560138	1.11876794915467	4.40735632396066	0.253841048220329	0.799618359904423	NA
ENSMUSG00000104123.1	0	NA	NA	NA	NA	NA
ENSMUSG00000025902.13	164.617771008548	-0.123870962662085	0.263376542634994	-0.470318888017885	0.638127204889582	0.811778956040842
ENSMUSG00000104238.1	4.45177215583446	0.524610222677623	1.50379924377084	0.348856554390957	0.727197003053797	NA
ENSMUSG00000102269.1	1.45837701815584	-1.02014321740688	2.62553839386447	-0.388546295796253	0.697611800702524	NA
ENSMUSG00000096126.1	1.49959127493777	0.0641432028421927	2.23783527822734	0.0286630582090932	0.977133319532333	NA
ENSMUSG00000103003.1	1.44918166220784	-2.62382739433377	3.76659111907748	-0.696605315359103	0.486049828491417	NA
ENSMUSG00000104328.1	0.567907859306684	-0.942285482510319	4.22282455890817	-0.223141044427844	0.823425734737999	NA
ENSMUSG00000102735.1	0.131706590907984	1.88840089545846	4.37653511308453	0.431483090313317	0.666117145281797	NA
ENSMUSG00000098104.1	57.0877749379326	-0.251840877689535	0.38116844209747	-0.660707576691607	0.508799863892423	0.720191263304401
ENSMUSG00000102175.1	3.55082524850693	1.26481617456306	1.60316556615688	0.788949189817671	0.430141704095004	NA
ENSMUSG00000088000.1	0.370526609645691	0	4.40735632393721	0	1	NA
ENSMUSG00000103265.1	1.82496167924311	2.8268784866079	2.91630992764686	0.969334040874348	0.332378550201539	NA
ENSMUSG00000103922.1	36.5211827459987	0.0740836658069571	0.550883695711493	0.134481500149091	0.893021838942351	0.953288033047393
ENSMUSG00000033845.13	1511.87986227874	-0.152397716483791	0.10518651843262	-1.44883316564388	0.147384179311942	0.333024751283173
